step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,C0_Baseline,W0,R0,15ee8767-e7b5-4bc9-b63d-ece9c1598128,0.0025837499890712934,0.0025837499890712934,4310,3876.757041000019,4891,1128,1.0,0,0.002803,4056,1394,2928,1059,1128,335,19104.445,0.0,False,1.0,0.75,{}
1,1,C0_Baseline,W0,R0,608c01f1-7576-4b36-81a2-9a222c89b025,0.001862499999560896,0.001862499999560896,3675,3333.413620999977,4136,898,1.0,0,0.002233,3628,1096,2730,829,898,267,14016.003,0.0,False,1.0,0.0,{}
2,2,C0_Baseline,W0,R0,5abbc5cd-4d6c-4b5b-9c2e-1e487410c3a6,0.002068499966867421,0.002068499966867421,3865,3266.0539110000855,4346,1007,1.0,0,0.002437,3767,1231,2760,945,1007,286,19899.296,0.0,False,1.0,1.0,{}
3,0,C2_R1_Hydration,W0,R1,380a4dd3-abef-4b20-a515-6777a9027b9c,0.00160662501969,0.00160662501969,3873,4284.758232000058,2165,552,2.012471131639723,539,0.002372,3460,1356,2908,992,552,364,17821.234,0.0,False,0.45,0.25,{}
4,1,C2_R1_Hydration,W0,R1,8c31429e-8db1-4715-ad4c-f3c4c5df008a,0.002267624978458116,0.002267624978458116,4069,4019.5675400000255,2409,613,1.9095060190950601,537,0.002163,3541,1361,2928,1051,613,310,17986.403,0.0,False,0.55,0.25,{}
5,2,C2_R1_Hydration,W0,R1,c91f3251-bb31-42a8-a2f3-99447460821e,0.0021556250118237585,0.0021556250118237585,3288,3203.2722190000413,1550,391,2.4167741935483873,534,0.001726,3114,1101,2723,834,391,267,14804.201,0.0,False,0.35,1.0,{}
6,0,C2_R2_Summary,W0,R2,3f806193-a17b-4760-93ed-522dcd958279,0.0019966249880098985,0.0019966249880098985,3425,4616.812359999926,1212,298,3.5264598540145986,622,0.005109,3044,1363,2746,851,298,512,19044.776,0.0,False,0.85,1.0,{}
7,1,C2_R2_Summary,W0,R2,fcb0d57f-f4cb-4a0b-93d5-f7f49d813889,0.002037250027342452,0.002037250027342452,3400,4335.286064999991,1170,298,3.603189493433396,727,0.0046289999999999994,3148,1350,2850,955,298,395,20628.621,0.0,False,0.95,0.0,{}
8,2,C2_R2_Summary,W0,R2,c53d09aa-0b75-48c6-b04b-409907ab61bb,0.002151124988358788,0.002151124988358788,3559,5777.702233000014,1393,294,3.0963480963480965,583,0.004562,2934,1225,2640,812,294,413,19946.951,0.0,False,0.15,1.0,{}
12,0,C2_R4_MemGPT,W0,R4,712817bc-34d0-4f45-abcd-ed24bd6ba4d0,0.0018863750312902994,0.0018863750312902994,3418,4508.301840000058,2643,647,1.4430571320469163,246,0.002567,3333,1181,2686,797,647,384,18544.563,0.0,False,0.85,1.0,"{""archival_summaries_count"": 2}"
13,1,C2_R4_MemGPT,W0,R4,0af3f3bc-7ba9-4d9a-8ab4-42d6ceb55c29,0.002016875015442565,0.002016875015442565,3048,4179.932591000124,2434,717,1.4276910435497123,257,0.002317,3436,1199,2719,879,717,320,20447.811,0.0,False,0.92,1.0,"{""archival_summaries_count"": 2}"
14,2,C2_R4_MemGPT,W0,R4,c4f2c255-1dca-495f-8de2-a8287bbbaec5,0.0017217499816979398,0.0017217499816979398,3580,7302.8627210001105,3076,730,1.290962288686606,188,0.002375,3388,1154,2658,825,730,329,23546.633,0.0,False,0.85,1.0,"{""archival_summaries_count"": 2}"
