step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,C0_Control,W0,R0,01272e28-9bb3-4573-9305-62719888cb1d,0.0026483749877570517,0.0026483749877570517,3465,3632.0269579998694,3943,899,1.0,0,0.002204,3503,1099,2604,838,899,261,16684.079,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
1,1,C0_Control,W0,R0,734f6dde-c3b3-4dc3-80a8-a4228088b181,0.0022595000643832464,0.0022595000643832464,3223,3424.1437289999794,3680,912,1.0,0,0.002102,3613,1084,2701,846,912,238,16624.769,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
2,2,C0_Control,W0,R0,7c525eab-e512-4a5e-9224-6dbc5329150b,0.002380124982437337,0.002380124982437337,3323,4028.685984000049,3855,977,1.0,0,0.002417,3783,1197,2806,909,977,288,16477.036,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
3,0,C1_Synergy,W2,R1,d9377dcf-9f8f-4c4a-a729-342ed5eca977,0.3773120000118979,0.4289810001409933,3903,4784.023652000087,2017,420,2.1779871095686665,536,0.00222,3179,1222,2759,862,420,360,17126.671,0.0,False,0.35,1.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""HighlySynergistic""}"
4,1,C1_Synergy,W2,R1,e82d4f1a-9b91-4d79-a3ca-fe35353ffb2d,0.27681349999397753,0.37655500000255415,3658,4495.222296000065,2113,483,1.9711310932323711,490,0.002093,3106,1207,2623,885,483,322,16484.751,0.0,False,0.35,1.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""HighlySynergistic""}"
5,2,C1_Synergy,W2,R1,8160b59e-6a74-48ef-b6e4-c41a3ac15162,0.31023812499597625,0.4457869999896502,3731,4454.1165380001075,2154,567,1.9716805942432682,538,0.002307,3480,1357,2913,1009,567,348,16837.016,0.0,False,0.72,1.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""HighlySynergistic""}"
9,0,C3_Tradeoff,W4,R2,bf8170ca-3967-4a78-bfd5-911137ff6e1f,0.2625122500319321,0.017481999975643703,3468,5619.609900000114,1376,288,3.048934490923441,531,0.004963,2710,1265,2422,753,288,512,21219.186,0.0,False,0.15,1.0,"{""preflush_accuracy"": 0.0, ""interaction_class"": ""HighRiskHighReward""}"
10,1,C3_Tradeoff,W4,R2,5b2d5634-e971-4ba5-8864-95cd01178d67,0.2388028750601734,0.01429200005986786,4168,4243.724254999961,1319,298,3.842668863261944,874,0.005001,3218,1539,2920,1099,298,440,20203.342,0.0,False,0.65,1.0,"{""preflush_accuracy"": 0.0, ""interaction_class"": ""HighRiskHighReward""}"
11,2,C3_Tradeoff,W4,R2,fe08e673-2a9b-47c6-b7fd-f6c7e6b3984c,0.3285565000226143,0.019103000113318558,3005,3697.23280900007,1200,269,3.0854545454545454,532,0.003936,2772,1067,2503,734,269,333,16442.046,0.0,False,0.85,1.0,"{""preflush_accuracy"": 0.0, ""interaction_class"": ""HighRiskHighReward""}"
12,0,C4_Hybrid_W2_R1,W2,R1,651fb0b3-a903-456b-86f6-b780c1e8e889,0.3021296249983152,0.41627100017649354,3704,3430.3649920000225,1853,402,2.2487857528332436,537,0.001967,3143,1157,2741,844,402,313,14655.594,0.0,False,0.35,1.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""EmpiricalHybrid""}"
13,1,C4_Hybrid_W2_R1,W2,R1,1ada2b2f-8244-4e18-9175-775c3df5c141,0.27271362500869145,0.45766499988530995,3921,4020.7791150000958,1888,390,2.336334745762712,537,0.00189,3119,1132,2729,832,390,300,15266.482,0.0,False,0.25,0.5,"{""avg_batch_size"": 8.0, ""interaction_class"": ""EmpiricalHybrid""}"
14,2,C4_Hybrid_W2_R1,W2,R1,f76aa870-4ec6-4920-b33b-99b33461e526,0.2963168749374745,0.33981700016738614,3519,3767.639571000018,1710,422,2.332748538011696,536,0.001877,3185,1155,2763,864,422,291,14214.634,0.0,False,0.45,1.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""EmpiricalHybrid""}"
