step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,D_W0_R0,W0,R0,c1892722-4060-4bc7-8ff4-40a76925f11a,0.0026407499831293535,0.0026407499831293535,2982,2556.525516000079,3439,783,1.0,0,0.001843,3343,928,2560,716,783,212,12239.871,0.0,False,0.95,0.0,"{""interaction_class"": ""Baseline""}"
1,1,D_W0_R0,W0,R0,3f86f57c-ae59-4c10-81eb-d44c2bd26051,0.001995625012796154,0.001995625012796154,3174,3707.9316880000306,3642,938,1.0,0,0.002368,3715,1154,2777,868,938,286,14252.638,0.0,False,1.0,0.75,"{""interaction_class"": ""Baseline""}"
2,2,D_W0_R0,W0,R0,81e7eadc-ec5a-4dd3-9e65-88129d177405,0.002075250009170304,0.002075250009170304,3919,3711.6298319999714,4429,997,1.0,0,0.002637,3828,1257,2831,929,997,328,16677.914,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
3,0,D_W0_R1,W0,R1,280a5a8a-2286-4540-9a4f-aabcf274a315,0.0028278749795163094,0.0028278749795163094,3605,3500.115631999961,1814,409,2.2883131201764058,517,0.001939,3075,1142,2666,836,409,306,14949.375,0.0,False,0.25,0.25,"{""interaction_class"": ""Unknown""}"
4,1,D_W0_R1,W0,R1,bd236c02-655a-4471-b779-b1976a8a12a5,0.0026117499913880238,0.0026117499913880238,3584,4153.405715999952,1814,399,2.238699007717751,498,0.001804,2971,1088,2572,807,399,281,16052.924,0.0,False,0.45,1.0,"{""interaction_class"": ""Unknown""}"
5,2,D_W0_R1,W0,R1,296a66d6-5a1a-4c0c-a022-250606e4de5d,0.001927499994280879,0.001927499994280879,3949,4317.977035000013,1857,416,2.37587506731287,536,0.002041,3173,1182,2757,857,416,325,16136.771,0.0,False,0.45,0.75,"{""interaction_class"": ""Unknown""}"
6,0,D_W0_R2,W0,R2,52f49e9b-1ac4-4744-b41e-7f04517e71d2,0.0015771250048146612,0.0015771250048146612,3553,5518.528127999957,1207,298,3.588235294117647,611,0.004403,3042,1210,2744,837,298,373,21306.664,0.0,False,0.85,0.75,"{""interaction_class"": ""Unknown""}"
7,1,D_W0_R2,W0,R2,9446b5ec-494d-4e5b-a108-eb1f01566668,0.0016348749909411708,0.0016348749909411708,3418,5267.788628000062,1252,298,3.337707786526684,622,0.005109,3054,1358,2756,846,298,512,20241.584,0.0,False,0.85,1.0,"{""interaction_class"": ""Unknown""}"
8,2,D_W0_R2,W0,R2,83c3a667-6c6a-4251-bc92-4a31ddb0b7f1,0.002133999984721413,0.002133999984721413,3528,4093.954918999998,1283,298,3.442275042444822,712,0.004534,3133,1320,2835,941,298,379,20106.014,0.0,False,0.95,1.0,"{""interaction_class"": ""Unknown""}"
12,0,D_W0_R4,W0,R4,837589d4-8e15-44b1-8586-10a8bbf63e13,0.0013975000285881833,0.0013975000285881833,3626,4142.93429899999,3057,770,1.3326790971540725,221,0.00261,3567,1264,2797,896,770,368,21097.966,0.0,False,0.85,1.0,"{""archival_summaries_count"": 2, ""interaction_class"": ""Unknown""}"
13,1,D_W0_R4,W0,R4,815d52d5-6fb2-4179-ae0b-e31e9dc7ac76,0.0019531249790816219,0.0019531249790816219,3057,4660.581081999908,2455,641,1.4114052953156824,261,0.002491,3347,1178,2706,808,641,370,19008.284,0.0,False,0.65,1.0,"{""archival_summaries_count"": 2, ""interaction_class"": ""Unknown""}"
14,2,D_W0_R4,W0,R4,ca039f50-d187-4b37-98d4-82f88342d556,0.001891374978413296,0.001891374978413296,3340,4379.555939999818,2845,751,1.3360281195079087,229,0.002211,3532,1180,2781,888,751,292,19352.497,0.0,False,0.85,1.0,"{""archival_summaries_count"": 2, ""interaction_class"": ""Unknown""}"
15,0,D_W1_R0,W1,R0,1cb2103f-2f12-48c3-b346-3f7eb6f664a3,0.2189107499361853,0.0073822500894493714,3194,3287.6325790000465,3717,945,1.0,0,0.002285,3722,1145,2777,877,945,268,13540.825,0.0,False,0.5,1.0,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
16,1,D_W1_R0,W1,R0,e28c12bf-e20e-44fc-9911-630503621332,0.2597851249959149,0.004634500044176093,3472,3689.4137449999107,3949,901,1.0,0,0.002281,3568,1115,2667,839,901,276,14305.648,0.0,False,1.0,0.75,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
17,2,D_W1_R0,W1,R0,f65d0dda-4811-4563-9a2e-a8139520daef,0.22325749998231004,0.004130249976697087,3069,3725.2133839999715,3543,968,1.0,0,0.002413,3770,1188,2802,899,968,289,15198.202,0.0,False,1.0,0.75,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
18,0,D_W1_R1,W1,R1,3f4f1aa0-eff1-4345-bc62-8fefd1e14e0d,0.18208975001243743,0.0036650000083682244,3059,4730.544142999861,1409,409,2.5145493257629523,509,0.001954,3049,1132,2640,823,409,309,15055.696,0.0,False,0.35,1.0,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
19,1,D_W1_R1,W1,R1,e914bb68-3b5b-49c6-9e5e-9e4a70906a03,0.2673029999868959,0.0056032499742286745,3048,3728.8239079998675,1525,391,2.301639344262295,538,0.001746,3127,1104,2736,833,391,271,14876.766,0.0,False,0.35,0.0,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
20,2,D_W1_R1,W1,R1,df144669-45c5-43c4-9f9e-5b13baba0f86,0.19432612498349044,0.0040107499330588325,4443,3938.4062650001397,2800,617,1.7871428571428571,536,0.002122,3537,1357,2920,1056,617,301,15404.202,0.0,False,0.35,0.25,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
21,0,D_W1_R2,W1,R2,5f43022f-7eeb-41d4-aa3a-6a7ab06d5dbe,0.20280062500432905,0.004804500008503965,2808,4337.433080999972,1247,298,2.7935258092738406,452,0.004184,2783,1042,2485,681,298,361,18180.08,0.0,False,0.75,1.0,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
22,1,D_W1_R2,W1,R2,409d7aa2-b0a7-4519-94dc-16e10fd2f39c,0.20638962496377644,0.004195000030904339,3983,6551.356539999915,1335,298,3.586709886547812,663,0.00515,3088,1402,2790,890,298,512,22751.413,0.0,False,0.85,1.0,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
23,2,D_W1_R2,W1,R2,eb4fe81d-9d8a-46ff-804d-c9b95f7686eb,0.1974278749798941,0.0042275000282643305,3136,4562.992892000011,1185,298,3.299256505576208,603,0.004535,3023,1232,2725,831,298,401,19648.925,0.0,False,0.85,0.25,"{""flush_ratio"": 0.5, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
27,0,D_W1_R4,W1,R4,3501312a-8842-4aea-9386-2a0969db10e7,0.1886202499861156,0.004020000005766633,3715,4760.467537000068,3033,800,1.356412792614573,205,0.00296,3609,1340,2809,908,800,432,24866.818,0.0,False,0.62,1.0,"{""flush_ratio"": 0.5, ""archival_summaries_count"": 2, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
28,1,D_W1_R4,W1,R4,9335d7eb-a39e-4d96-81bf-e0667c888a20,0.22180224999601705,0.004430749925177224,4792,3745.412530000067,4071,1095,1.3031196266273644,281,0.003655,4024,1792,2929,1280,1095,512,21050.897,0.0,False,0.75,1.0,"{""flush_ratio"": 0.5, ""archival_summaries_count"": 2, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
29,2,D_W1_R4,W1,R4,f049616b-e3cf-4e6d-82ba-1afab76e9820,0.194166624993386,0.00402300003088385,4238,4471.00576999992,3642,1100,1.3036792970895112,182,0.003135,3943,1597,2843,1190,1100,407,24182.762,0.0,False,0.85,1.0,"{""flush_ratio"": 0.5, ""archival_summaries_count"": 2, ""interaction_class"": ""Unknown"", ""available_trace_ratio"": 0.875}"
30,0,D_W2_R0,W2,R0,ef3dd2cc-b309-450e-9ddf-ffb68fb3dca1,0.3246568750228107,0.6983939999827271,3329,3525.3544370000327,3813,885,1.0,0,0.00222,3591,1087,2706,820,885,267,14319.976,0.0,False,1.0,1.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""Unknown""}"
31,1,D_W2_R0,W2,R0,be82add0-45b9-4364-9734-ed8bc7e4f7f6,0.2511032500081001,0.33413200003451493,3509,3905.5760199998986,3978,982,1.0,0,0.002557,3806,1226,2824,911,982,315,15976.471,0.0,False,1.0,1.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""Unknown""}"
32,2,D_W2_R0,W2,R0,e9ce48fc-9d00-48e1-90e6-77200e400a31,0.2583788749461746,0.3359570002885448,3637,3183.336498000017,4101,919,1.0,0,0.002049,3674,1075,2755,849,919,226,14738.385,0.0,False,1.0,0.0,"{""avg_batch_size"": 8.0, ""interaction_class"": ""Unknown""}"
33,0,D_W2_R1,W2,R1,883817cc-a74b-4baa-8d3c-05abb1bde06d,0.31346962498446374,0.326615000176389,3195,3907.8102230000695,1575,390,2.325079365079365,537,0.00183,3125,1120,2735,832,390,288,15746.469,0.0,False,0.35,0.5,"{""avg_batch_size"": 8.0, ""interaction_class"": ""HighlySynergistic""}"
