condition,write_algorithm,read_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
D_W0_R0,W0,R0,3,0.002237208335031937,0.002075250009170304,0.0025841999857334486,0.0026294399836501725,0.00028719265464583187,0.002237208335031937,0.002075250009170304,0.0025841999857334486,0.0026294399836501725,0.00028719265464583187,3358.3333333333335,3174.0,3844.5,3904.1,404.1256680236428,3325.3623453333603,3707.9316880000306,3711.2600175999773,3711.5558691199726,543.6518320099738,3836.6666666666665,3642.0,4350.3,4413.26,426.9631782198034,906.0,938.0,991.1,995.82,90.2478069908996,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002282666666666667,0.002368,0.0026101,0.00263162,0.00032971738740253837,3628.6666666666665,3715.0,3816.7,3825.74,207.197704834993,1113.0,1154.0,1246.7,1254.94,137.40693820425034,2722.6666666666665,2777.0,2825.6,2829.92,117.11627650425973,837.6666666666666,868.0,922.9,927.78,89.56313725833611,906.0,938.0,991.1,995.82,90.2478069908996,275.3333333333333,286.0,323.8,327.16,47.95368135561185,14390.140999999998,14252.638,16435.3864,16629.408480000002,1814.430438405581,0.0,0.0,0.0,0.0,0.0,0.9833333333333334,1.0,1.0,1.0,0.023570226039551608,0.5833333333333334,0.75,0.975,0.995,0.42491829279939874
D_W0_R1,W0,R1,3,0.002455708321728404,0.0026117499913880238,0.002806262480703481,0.0028235524797537437,0.00038377991133117497,0.002455708321728404,0.0026117499913880238,0.002806262480703481,0.0028235524797537437,0.00038377991133117497,3712.6666666666665,3605.0,3914.6,3942.12,167.3326693213917,3990.4994609999753,4153.405715999952,4301.519903100007,4314.685608620011,353.2026373701942,1828.3333333333333,1814.0,1852.7,1856.14,20.270394394014364,408.0,409.0,415.3,415.86,6.97614984548545,2.3009623984023424,2.2883131201764058,2.3671188725992236,2.374123828370141,0.05671167434922485,517.0,517.0,534.1,535.62,15.513435037626794,0.0019279999999999998,0.001939,0.0020307999999999997,0.00203896,9.706698717895795e-05,3073.0,3075.0,3163.2,3171.04,82.47827996913288,1137.3333333333333,1142.0,1178.0,1181.2,38.5169515350781,2665.0,2666.0,2747.9,2755.18,75.52924378455451,833.3333333333334,836.0,854.9,856.58,20.49932248202906,408.0,409.0,415.3,415.86,6.97614984548545,304.0,306.0,323.1,324.62,18.01850900231944,15713.023333333333,16052.924,16128.3863,16135.094060000001,541.064791316982,0.0,0.0,0.0,0.0,0.0,0.3833333333333333,0.45,0.45,0.45,0.09428090415820634,0.6666666666666666,0.75,0.975,0.995,0.31180478223116176
D_W0_R2,W0,R2,3,0.0017819999934924151,0.0016348749909411708,0.002084087485343389,0.002124017484845808,0.0002500156802993418,0.0017819999934924151,0.0016348749909411708,0.002084087485343389,0.002124017484845808,0.0002500156802993418,3499.6666666666665,3528.0,3550.5,3552.5,58.642040285863935,4960.090558333339,5267.788628000062,5493.454177999967,5513.513337999959,620.9459361906805,1247.3333333333333,1252.0,1279.9,1282.38,31.201851796897497,298.0,298.0,298.0,298.0,0.0,3.4560727076963844,3.442275042444822,3.5736392689503647,3.585316089084191,0.10274171398781391,648.3333333333334,622.0,703.0,710.2,45.242556171030934,0.0046819999999999995,0.004534,0.0050515,0.0050975,0.0003066344185943037,3076.3333333333335,3054.0,3125.1,3131.42,40.36775390773626,1296.0,1320.0,1354.2,1357.24,62.758797524065635,2778.3333333333335,2756.0,2827.1,2833.42,40.36775390773626,874.6666666666666,846.0,931.5,939.1,47.04843839656695,298.0,298.0,298.0,298.0,0.0,421.3333333333333,379.0,498.7,509.34,64.15779159402403,20551.42066666667,20241.584,21200.156,21285.3624,536.8979888416635,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,0.85,0.94,0.948,0.04714045207910316,0.9166666666666666,1.0,1.0,1.0,0.11785113019775792
D_W0_R4,W0,R4,3,0.001747333328694367,0.001891374978413296,0.0019469499790147893,0.0019518899790682553,0.00024865071759802874,0.001747333328694367,0.001891374978413296,0.0019469499790147893,0.0019518899790682553,0.00024865071759802874,3341.0,3340.0,3597.4,3620.28,232.29435349716675,4394.357106999905,4379.555939999818,4632.478567799899,4654.960579159906,211.58741912184425,2785.6666666666665,2845.0,3035.8,3052.76,249.32085530273812,720.6666666666666,751.0,768.1,769.62,56.864361031805814,1.3600375039925545,1.3360281195079087,1.403867577734905,1.4098977517995268,0.03634823679120195,237.0,229.0,257.8,260.36,17.281975195754296,0.002437333333333333,0.002491,0.0025981,0.0026076199999999997,0.00016725296874960268,3482.0,3532.0,3563.5,3566.3,96.52288157046839,1207.3333333333333,1180.0,1255.6,1262.32,40.07770230717103,2761.3333333333335,2781.0,2795.4,2796.68,39.66806720216597,864.0,888.0,895.2,895.84,39.73243846867024,720.6666666666666,751.0,768.1,769.62,56.864361031805814,343.3333333333333,368.0,369.8,369.96,36.307330144506935,19819.582333333336,19352.497,20923.4191,21063.05662,914.8111815168323,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,0.85,0.85,0.85,0.09428090415820632,1.0,1.0,1.0,1.0,0.0
D_W1_R0,W1,R0,3,0.2339844583048034,0.22325749998231004,0.2561323624945544,0.2590545724956428,0.018329927446123787,0.005382333370107517,0.004634500044176093,0.007107475084922044,0.007327295088543906,0.0014290596432305778,3245.0,3194.0,3444.2,3466.44,168.43000524451298,3567.419902666643,3689.4137449999107,3721.6334200999654,3724.4973912199703,198.3786167937819,3736.3333333333335,3717.0,3925.8,3944.36,166.31162182949078,938.0,945.0,965.7,967.54,27.796882319185844,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023263333333333335,0.002285,0.0024002000000000003,0.0024104400000000002,6.130434097372085e-05,3686.6666666666665,3722.0,3765.2,3769.04,86.1677949635993,1149.3333333333333,1145.0,1183.7,1187.14,29.95923155816176,2748.6666666666665,2777.0,2799.5,2801.5,58.64204028586394,871.6666666666666,877.0,896.8,898.56,24.78350706058814,938.0,945.0,965.7,967.54,27.796882319185844,277.6666666666667,276.0,287.7,288.74,8.65383665716478,14348.224999999999,14305.648,15108.9466,15180.350919999999,677.2907946266502,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,1.0,0.23570226039551584,0.8333333333333334,0.75,0.975,0.995,0.11785113019775792
D_W1_R1,W1,R1,3,0.21457295832760792,0.19432612498349044,0.26000531248655534,0.2658434624868278,0.037618924210657025,0.004426333305218577,0.0040107499330588325,0.00544399997011169,0.005571399973405278,0.0008440913801049653,3516.6666666666665,3059.0,4304.599999999999,4415.32,655.0319754705787,4132.591438666623,3938.4062650001397,4651.330355199889,4714.7013854398665,431.38673179721394,1911.3333333333333,1525.0,2672.5,2774.5,630.1641761389558,472.3333333333333,409.0,596.1999999999999,612.84,102.5583844559879,2.201110509056035,2.301639344262295,2.4932583276128866,2.5102911261329393,0.3053517945785756,527.6666666666666,536.0,537.8,537.96,13.224556283251582,0.001940666666666667,0.001954,0.0021052,0.00211864,0.00015379062245649306,3237.6666666666665,3127.0,3496.0,3528.8,214.04257105123324,1197.6666666666667,1132.0,1334.5,1352.5,113.2440825042184,2765.3333333333335,2736.0,2901.6,2916.32,116.17611152422381,904.0,833.0,1033.7,1051.54,107.55773643335316,472.3333333333333,409.0,596.1999999999999,612.84,102.5583844559879,293.6666666666667,301.0,308.2,308.84,16.35712552851373,15112.221333333333,15055.696,15369.3514,15397.23188,219.0030722848932,0.0,0.0,0.0,0.0,0.0,0.3499999999999999,0.35,0.35,0.35,5.551115123125783e-17,0.4166666666666667,0.25,0.9249999999999999,0.985,0.42491829279939874
D_W1_R2,W1,R2,3,0.2022060416493332,0.20280062500432905,0.2060307249678317,0.2063178449645875,0.0036826971744390747,0.004409000022557545,0.0042275000282643305,0.004746800010480001,0.004792960008899172,0.00027997528655200225,3309.0,3136.0,3898.2999999999997,3966.06,495.0441057791383,5150.594170999966,4562.992892000011,6352.520175199925,6511.589267039917,994.7598430071301,1255.6666666666667,1247.0,1326.2,1333.24,61.54311948183611,298.0,298.0,298.0,298.0,0.0,3.2264974004659535,3.299256505576208,3.5579645484506517,3.58096081892838,0.32787768109725934,572.6666666666666,603.0,657.0,661.8,88.77061575894483,0.0046229999999999995,0.004535,0.0050885,0.0051377,0.0003992467908449609,2964.6666666666665,3023.0,3081.5,3086.7,131.16994913300667,1225.3333333333333,1232.0,1385.0,1398.6,147.04496666741852,2666.6666666666665,2725.0,2783.5,2788.7,131.16994913300667,800.6666666666666,831.0,884.1,888.82,87.9785327351066,298.0,298.0,298.0,298.0,0.0,424.6666666666667,401.0,500.9,509.78,63.87661717891941,20193.47266666667,19648.925,22441.1642,22689.36324,1905.5481224005393,0.0,0.0,0.0,0.0,0.0,0.8166666666666668,0.85,0.85,0.85,0.04714045207910316,0.75,1.0,1.0,1.0,0.3535533905932738
D_W1_R4,W1,R4,3,0.2015297083251729,0.194166624993386,0.21903868749575395,0.22124953749596443,0.01451258139862107,0.004157916653942569,0.00402300003088385,0.004389974935747887,0.004422594927291357,0.00019292614382560697,4248.333333333333,4238.0,4736.6,4780.92,439.74411751482126,4325.628612333351,4471.00576999992,4731.521360300053,4754.678301660065,426.9543732745148,3582.0,3642.0,4028.1,4062.42,425.8802648632594,998.3333333333334,1095.0,1099.5,1099.9,140.2576993331283,1.321070572110483,1.3036792970895112,1.351139443062067,1.3553581227040719,0.02499176824978374,222.66666666666666,205.0,273.4,279.48,42.30313883809989,0.00325,0.003135,0.003603,0.0036446,0.00029515532633965226,3858.6666666666665,3943.0,4015.9,4022.38,179.6113087258768,1576.3333333333333,1597.0,1772.5,1788.1,185.10597565238737,2860.3333333333335,2843.0,2920.4,2927.28,50.499724971748336,1126.0,1190.0,1271.0,1278.2,158.46766231632245,998.3333333333334,1095.0,1099.5,1099.9,140.2576993331283,450.3333333333333,432.0,504.0,510.4,44.78342947514801,23366.825666666668,24182.762,24798.412399999997,24853.13688,1661.2500001706203,0.0,0.0,0.0,0.0,0.0,0.7400000000000001,0.75,0.84,0.848,0.09416297927883689,1.0,1.0,1.0,1.0,0.0
D_W2_R0,W2,R0,3,0.2780463333256951,0.2583788749461746,0.3180290750151471,0.323331315021278,0.0330922007682958,0.45616100010192895,0.3359570002885448,0.6621503000133089,0.6911452599888435,0.17128621725038645,3491.6666666666665,3509.0,3624.2,3634.44,126.33641157199649,3538.0889849999826,3525.3544370000327,3867.553861699912,3897.9715883399012,294.99051772243644,3964.0,3978.0,4088.7,4098.54,117.99152511939153,928.6666666666666,919.0,975.7,980.74,40.18568014714805,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022753333333333336,0.00222,0.0025233,0.00255026,0.000211048704226194,3690.3333333333335,3674.0,3792.8,3803.36,88.52996981562546,1129.3333333333333,1087.0,1212.1,1223.22,68.52898818910302,2761.6666666666665,2755.0,2817.1,2822.62,48.40339749324307,860.0,849.0,904.8,909.76,37.95611501018863,928.6666666666666,919.0,975.7,980.74,40.18568014714805,269.3333333333333,267.0,310.2,314.04,36.37153954521157,15011.610666666667,14738.385,15852.6624,15951.70928,703.3174342359371,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.4714045207910317
D_W2_R1,W2,R1,3,0.27949033333622236,0.2710451250038659,0.30922717498640395,0.3126211349848518,0.025019347283490458,0.3724770000796222,0.3400220000457921,0.4397168000195961,0.4485785600172676,0.05564830797506198,3440.0,3548.0,3574.1,3576.42,173.6452322025188,3879.0326446666463,3907.8102230000695,3953.9863357999593,3958.0908791599495,79.77589287901851,1744.0,1803.0,1848.9,1852.98,121.30127781684742,407.3333333333333,415.0,416.8,416.96,12.283683848458853,2.2743497691002657,2.3183582917359957,2.3244072577450283,2.324944943612498,0.06704613608419097,534.3333333333334,537.0,537.0,537.0,3.7712361663282534,0.001904,0.00191,0.0019657999999999998,0.00197076,5.812629926863275e-05,3146.3333333333335,3145.0,3166.6,3168.52,17.987650084309387,1147.6666666666667,1157.0,1165.1,1165.82,19.90533150244482,2739.0,2735.0,2752.1,2753.62,10.98483803552272,848.3333333333334,855.0,857.7,857.94,11.61416759345623,407.3333333333333,415.0,416.8,416.96,12.283683848458853,299.3333333333333,299.0,309.8,310.76,9.392668535736913,15731.332666666667,15746.469,15762.777,15764.2266,35.00924868596196,0.0,0.0,0.0,0.0,0.0,0.34,0.35,0.413,0.41859999999999997,0.06976149845485449,0.5833333333333334,0.5,0.95,0.99,0.31180478223116176
