metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
context_token_count,D_W0_R0,D_W0_R1,3,6.0,0.125,False,5.861638278340454,529.0
context_token_count,D_W0_R0,D_W0_R2,3,6.0,0.125,False,7.091585062642515,640.0
context_token_count,D_W0_R0,D_W0_R4,3,6.0,0.125,False,2.0720725104908597,187.0
context_token_count,D_W0_R0,D_W1_R0,3,3.0,0.625,False,-0.0775642116226525,-7.0
context_token_count,D_W0_R0,D_W1_R1,3,6.0,0.125,False,5.861638278340454,529.0
context_token_count,D_W0_R0,D_W1_R2,3,6.0,0.125,False,7.091585062642515,640.0
context_token_count,D_W0_R0,D_W1_R4,3,0.0,1.0,False,-1.739654460679492,-157.0
context_token_count,D_W0_R0,D_W2_R0,3,2.0,0.75,False,0.21053143154719967,19.0
context_token_count,D_W0_R0,D_W2_R1,3,6.0,0.125,False,5.7951546683781805,523.0
context_token_count,D_W0_R0,D_W2_R2,3,6.0,0.125,False,7.091585062642515,640.0
context_token_count,D_W0_R0,D_W2_R4,3,6.0,0.125,False,2.060991908830481,186.0
context_token_count,D_W0_R0,D_W3_R0,3,2.0,0.75,False,0.0,0.0
context_token_count,D_W0_R0,D_W3_R1,3,6.0,0.125,False,5.6289456434724965,508.0
context_token_count,D_W0_R0,D_W3_R2,3,6.0,0.125,False,7.1026656643028945,641.0
context_token_count,D_W0_R0,D_W3_R4,3,6.0,0.125,False,1.9945082988682075,180.0
context_token_count,D_W0_R0,D_W4_R0,3,2.0,0.75,False,-0.7091585062642515,-64.0
context_token_count,D_W0_R0,D_W4_R1,3,6.0,0.125,False,6.027847303246138,544.0
context_token_count,D_W0_R0,D_W4_R2,3,6.0,0.125,False,7.091585062642515,640.0
context_token_count,D_W0_R0,D_W4_R4,3,6.0,0.125,False,2.858795228377764,258.0
