metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
handoff_latency_ms,D_W0_R0,D_W0_R1,3,0.0,1.0,False,-0.8194105156458471,-445.4740279999214
handoff_latency_ms,D_W0_R0,D_W0_R2,3,0.0,1.0,False,-2.8692204240903676,-1559.8569400000315
handoff_latency_ms,D_W0_R0,D_W0_R4,3,0.0,1.0,False,-1.2353940747618612,-671.6242519997877
handoff_latency_ms,D_W0_R0,D_W1_R0,3,2.0,0.75,False,0.034062136664971446,18.517943000119885
handoff_latency_ms,D_W0_R0,D_W1_R1,3,0.0,1.0,False,-0.42393782827435944,-230.4745770001091
handoff_latency_ms,D_W0_R0,D_W1_R2,3,0.0,1.0,False,-1.5728103055168605,-855.0612039999805
handoff_latency_ms,D_W0_R0,D_W1_R4,3,0.0,1.0,False,-1.4036080393167631,-763.0740819998891
handoff_latency_ms,D_W0_R0,D_W2_R0,3,2.0,0.75,False,0.3358348859501544,182.5772509999979
handoff_latency_ms,D_W0_R0,D_W2_R1,3,0.0,1.0,False,-0.3676590847871995,-199.87853500003894
handoff_latency_ms,D_W0_R0,D_W2_R2,3,0.0,1.0,False,-2.357311782173962,-1281.5568689999282
handoff_latency_ms,D_W0_R0,D_W2_R4,3,0.0,1.0,False,-2.330174040458872,-1266.8033859998786
handoff_latency_ms,D_W0_R0,D_W3_R0,3,2.0,0.75,False,0.2704286150497501,147.01901199998701
handoff_latency_ms,D_W0_R0,D_W3_R1,3,0.0,1.0,False,-3.9587894333749873,-2152.2031279999965
handoff_latency_ms,D_W0_R0,D_W3_R2,3,0.0,1.0,False,-3.2372305607613323,-1759.9263249998103
handoff_latency_ms,D_W0_R0,D_W3_R4,3,0.0,1.0,False,-0.5448920734879634,-296.23157399998945
handoff_latency_ms,D_W0_R0,D_W4_R0,3,2.0,0.75,False,-0.029190730289839917,-15.869593999809695
handoff_latency_ms,D_W0_R0,D_W4_R1,3,1.0,0.875,False,-0.7287960578269396,-396.21131199999127
handoff_latency_ms,D_W0_R0,D_W4_R2,3,0.0,1.0,False,-3.3382394726542635,-1814.8400049998372
handoff_latency_ms,D_W0_R0,D_W4_R4,3,2.0,0.75,False,0.7313085463714621,397.57723100012754
