metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
retrieval_accuracy_score,D_W0_R0,D_W0_R1,10,55.0,0.0009765625,True,4.392292929916294,0.65
retrieval_accuracy_score,D_W0_R0,D_W0_R2,10,45.0,0.029296875,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W0_R3,10,53.0,0.0029296875,True,2.3650808084164656,0.35
retrieval_accuracy_score,D_W0_R0,D_W0_R4,10,45.0,0.0400390625,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W1_R0,10,6.0,0.71875,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W1_R1,10,55.0,0.0009765625,True,4.392292929916294,0.65
retrieval_accuracy_score,D_W0_R0,D_W1_R2,10,45.0,0.0390625,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W1_R3,10,38.0,0.03515625,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W1_R4,10,45.5,0.0361328125,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W2_R0,10,0.0,1.0,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W2_R1,10,54.0,0.001953125,True,4.459866667299621,0.66
retrieval_accuracy_score,D_W0_R0,D_W2_R2,10,45.5,0.0341796875,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W2_R3,10,50.5,0.0078125,True,2.297507071033138,0.33999999999999997
retrieval_accuracy_score,D_W0_R0,D_W2_R4,10,45.0,0.0380859375,True,1.4528353537415437,0.21500000000000008
retrieval_accuracy_score,D_W0_R0,D_W3_R0,10,4.5,0.625,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W3_R1,10,54.0,0.001953125,True,3.8854898995413363,0.575
retrieval_accuracy_score,D_W0_R0,D_W3_R2,10,45.0,0.0390625,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W3_R3,10,51.5,0.005859375,True,3.716555556083018,0.55
retrieval_accuracy_score,D_W0_R0,D_W3_R4,10,45.0,0.0361328125,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W4_R0,10,2.0,0.9375,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W4_R1,10,55.0,0.0009765625,True,4.392292929916294,0.65
retrieval_accuracy_score,D_W0_R0,D_W4_R2,10,45.0,0.0341796875,True,1.013606060749914,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W4_R3,10,45.0,0.001953125,True,2.4495479801456255,0.36250000000000004
retrieval_accuracy_score,D_W0_R0,D_W4_R4,10,47.0,0.021484375,True,1.013606060749914,0.15000000000000002
