step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,D_W0_R0,W0,R0,7700f29b-770c-45f6-b620-e543123efc06,0.004462504875846207,0.004462504875846207,3534,3497.134900011588,3991,872,1.0,0,0.002197,3380,1077,2508,812,872,265,16222.584,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
1,1,D_W0_R0,W0,R0,1859da3f-c324-4988-8be0-0683709f5500,0.00232499951380305,0.00232499951380305,3649,3666.9975999975577,4153,1077,1.0,0,0.002682,3984,1330,2907,1009,1077,321,18039.551,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
2,2,D_W0_R0,W0,R0,1475d732-f081-4eb2-ac48-132e9e4c14a0,0.0021749947336502373,0.0021749947336502373,3103,3286.3552999915555,3568,889,1.0,0,0.002154,3448,1078,2559,825,889,253,15559.024,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
3,3,D_W0_R0,W0,R0,7aa1b3f1-fbd7-4708-9bfe-f900ed9dd5f6,0.0021000014385208488,0.0021000014385208488,4554,4159.4570000015665,5119,1357,1.0,0,0.002967,4295,1602,2938,1280,1357,322,21088.367,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
4,4,D_W0_R0,W0,R0,3c6f21c9-d2c4-4a63-8e71-2c6a3a7c499c,0.0018124992493540049,0.0018124992493540049,3329,4796.523099998012,3803,911,1.0,0,0.002401,3652,1141,2741,843,911,298,16745.976,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
5,5,D_W0_R0,W0,R0,8233eed2-72c9-4161-8ccb-63717eaf9f1f,0.0020750048861373216,0.0020750048861373216,3942,3799.474100000225,4410,990,1.0,0,0.002565,3820,1233,2830,918,990,315,17581.704,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
6,6,D_W0_R0,W0,R0,ac48067d-78de-43ed-9f4a-cd569eeb531e,0.0020500046957749873,0.0020500046957749873,3471,3834.0204000123776,3980,882,1.0,0,0.002252,3518,1091,2636,817,882,274,15924.737,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
7,7,D_W0_R0,W0,R0,7da00a90-4f2a-4f2f-b336-5e12fa2ea267,0.002324995875824243,0.002324995875824243,3333,3003.0209999822546,3853,911,1.0,0,0.002256,3653,1113,2742,844,911,269,18906.818,0.0,False,1.0,0.5,"{""interaction_class"": ""Baseline""}"
8,8,D_W0_R0,W0,R0,78383661-f4aa-4ed2-ace1-f07627d6ed41,0.0022875028662383556,0.0022875028662383556,3633,3398.4633999934886,4129,884,1.0,0,0.002484,3453,1139,2569,819,884,320,15364.84,0.0,False,1.0,0.0,"{""interaction_class"": ""Baseline""}"
9,9,D_W0_R0,W0,R0,6f24da20-6f45-461a-85fe-3fa45a2d865f,0.002037500962615013,0.002037500962615013,3575,2929.3639000097755,4089,912,1.0,0,0.002202,3660,1100,2748,842,912,258,18787.501,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
