metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
context_token_count,D_W0_R0,D_W0_R1,30,465.0,9.313225746154785e-10,True,3.6174412500336612,477.0
context_token_count,D_W0_R0,D_W0_R2,30,465.0,8.650185646450623e-07,True,4.671580314508879,616.0
context_token_count,D_W0_R0,D_W0_R3,30,463.0,2.7939677238464355e-09,True,2.1992829402720373,290.0
context_token_count,D_W0_R0,D_W0_R4,30,383.0,0.000982019598876095,True,1.1565194772120195,152.5
context_token_count,D_W0_R0,D_W1_R0,30,167.0,0.9110520430336737,False,-0.29197376965680494,-38.5
context_token_count,D_W0_R0,D_W1_R1,30,465.0,8.661081165720568e-07,True,3.791867138400064,500.0
context_token_count,D_W0_R0,D_W1_R2,30,465.0,8.66653322099553e-07,True,4.671580314508879,616.0
context_token_count,D_W0_R0,D_W1_R3,30,421.0,5.2825261874963354e-05,True,2.0931106603968357,276.0
context_token_count,D_W0_R0,D_W1_R4,30,414.0,3.1433068215847015e-05,True,1.228564952841621,162.0
context_token_count,D_W0_R0,D_W2_R0,30,214.5,0.5258625982280382,False,-0.07583734276800129,-10.0
context_token_count,D_W0_R0,D_W2_R1,30,465.0,9.313225746154785e-10,True,3.609857515756861,476.0
context_token_count,D_W0_R0,D_W2_R2,30,465.0,8.66653322099553e-07,True,4.671580314508879,616.0
context_token_count,D_W0_R0,D_W2_R3,30,462.5,1.1179462036190529e-06,True,1.823888093570431,240.5
context_token_count,D_W0_R0,D_W2_R4,30,407.0,0.0001658025489140044,True,1.357488435547223,179.0
context_token_count,D_W0_R0,D_W3_R0,30,196.5,0.6751313034270287,False,-0.10996414701360187,-14.5
context_token_count,D_W0_R0,D_W3_R1,30,462.0,4.6566128730773926e-09,True,3.5719388443728604,471.0
context_token_count,D_W0_R0,D_W3_R2,30,465.0,8.661081165720568e-07,True,4.671580314508879,616.0
context_token_count,D_W0_R0,D_W3_R3,30,445.0,6.187121764224945e-06,True,2.714976871094446,358.0
context_token_count,D_W0_R0,D_W3_R4,30,399.0,0.00015637744218111038,True,1.3271534984400224,175.0
context_token_count,D_W0_R0,D_W4_R0,30,193.0,0.7917454190778728,False,-0.1592584198128027,-21.0
context_token_count,D_W0_R0,D_W4_R1,30,465.0,9.313225746154785e-10,True,3.6856948585248626,486.0
context_token_count,D_W0_R0,D_W4_R2,30,465.0,8.644742180097877e-07,True,4.671580314508879,616.0
context_token_count,D_W0_R0,D_W4_R3,30,452.0,3.165998786525278e-06,True,2.37750069577684,313.5
context_token_count,D_W0_R0,D_W4_R4,30,409.0,0.00014148683915719633,True,1.3119860298864223,173.0
