metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
retrieval_accuracy_score,D_W0_R0,D_W0_R1,100,5050.0,1.3083494479708178e-18,True,12.386008690938642,0.65
retrieval_accuracy_score,D_W0_R0,D_W0_R2,100,4953.0,8.822611064456084e-18,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W0_R3,100,4945.0,3.141467662181795e-18,True,7.62215919442378,0.4
retrieval_accuracy_score,D_W0_R0,D_W0_R4,100,4954.0,1.9881765759528985e-17,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W1_R0,100,341.5,0.1230699045342139,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W1_R1,100,5050.0,1.355317314709738e-18,True,12.386008690938642,0.65
retrieval_accuracy_score,D_W0_R0,D_W1_R2,100,4955.0,1.0341130101252955e-17,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W1_R3,100,4753.0,5.692265802207361e-18,True,6.669389295120807,0.35
retrieval_accuracy_score,D_W0_R0,D_W1_R4,100,4853.5,2.2761186627493524e-17,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W2_R0,100,452.0,0.09486018820057873,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W2_R1,100,5050.0,1.5128203281167844e-18,True,12.386008690938642,0.65
retrieval_accuracy_score,D_W0_R0,D_W2_R2,100,4953.0,1.3978353982264364e-17,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W2_R3,100,4920.0,6.682992403912867e-18,True,6.669389295120807,0.35
retrieval_accuracy_score,D_W0_R0,D_W2_R4,100,4755.0,3.1738500250940954e-17,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W3_R0,100,331.5,0.38247202765521915,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W3_R1,100,5050.0,1.2862267146620478e-18,True,12.386008690938642,0.65
retrieval_accuracy_score,D_W0_R0,D_W3_R2,100,4854.0,5.854276902800076e-18,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W3_R3,100,4890.0,1.627845745937178e-17,True,7.193412739737441,0.37749999999999995
retrieval_accuracy_score,D_W0_R0,D_W3_R4,100,4965.5,1.397634108541483e-17,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W4_R0,100,70.0,0.8606797670911889,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W4_R1,100,4950.0,2.3163599147236213e-18,True,12.386008690938642,0.65
retrieval_accuracy_score,D_W0_R0,D_W4_R2,100,4859.0,6.792048424049126e-18,True,2.858309697908918,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W4_R3,100,4851.0,3.929532082432069e-18,True,6.669389295120807,0.35
retrieval_accuracy_score,D_W0_R0,D_W4_R4,100,4771.5,2.335391665554197e-17,True,2.858309697908918,0.15000000000000002
