metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
state_integrity_score,D_W0_R0,D_W0_R1,100,911.0,0.9638140658786569,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W0_R2,100,379.5,0.9999961135041305,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W0_R3,100,199.0,0.9999999986285284,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W0_R4,100,116.0,0.999999999824895,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W1_R0,100,1488.5,0.0724056861726703,False,1.2892765544990237,0.5
state_integrity_score,D_W0_R0,D_W1_R1,100,900.0,0.954279045789597,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W1_R2,100,525.0,0.9997502655673737,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W1_R3,100,147.5,0.9999999981217448,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W1_R4,100,20.0,0.999999999992653,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W2_R0,100,1351.0,0.41682646505446713,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W2_R1,100,867.5,0.8780944887118689,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W2_R2,100,581.0,0.9997973151325692,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W2_R3,100,225.5,0.9999999939601895,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W2_R4,100,114.0,0.99999999887978,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W3_R0,100,1168.5,0.7957476199089972,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W3_R1,100,806.5,0.9729670419080108,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W3_R2,100,601.0,0.999076358644983,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W3_R3,100,132.0,0.9999999983354417,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W3_R4,100,82.5,0.99999999983547,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W4_R0,100,1439.5,0.3101747905913129,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W4_R1,100,1122.0,0.963002785075838,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W4_R2,100,548.5,0.9980598420675444,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W4_R3,100,152.0,0.9999999977296757,False,-0.6446382772495118,-0.25
state_integrity_score,D_W0_R0,D_W4_R4,100,117.5,0.9999999997100587,False,-0.6446382772495118,-0.25
